Region Name,Quarter,Year,Fixed State F&O,Reports per 100K-F&O together,State Pop,State Total Reports Quarter
South Sulawesi,2,2019,8452,274.4016861,3080156,8452
South Sulawesi,2,2021,11581,375.98745,3080156,11581
Central Java,1,2021,107438,271.9107958,39512223,107438
North Sumatra,1,2020,2536,141.9086603,1787065,2536
West Papua,2,2021,1351,152.7142097,884659,1351
Riau,4,2019,31706,162.9830138,19453561,31706
Maluku,1,2019,11478,150.7309426,7614893,11478
Riau,3,2019,35562,182.8045775,19453561,35562
South Sumatra,4,2019,19214,151.6277732,12671821,19214
East Kalimantan,3,2021,9049,202.5439194,4467673,9049
Central Papua,1,2020,1592,150.2792721,1059361,1592
Central Java,2,2018,20591,160.8421941,12801989,20591
West Sumatra,4,2020,13998,207.9254998,6732219,13998
Bali,3,2019,13530,198.1205926,6829174,13530
South Kalimantan,2,2018,7265,156.2770904,4648794,7265
District of Columbia,1,2022,2537,359.4762444,705749,2537
East Papua,2,2018,9660,187.6196658,5148714,9660
Jakarta,2,2021,80027,372.6044322,21477737,80027
Java,2,2019,5078,158.3925928,3205958,5078
Central Papua,1,2020,3290,156.9035911,2096829,3290
Central Sumatra,4,2020,10077,238.9195912,4217737,10077
Lampung,4,2021,2077,154.5143177,1344212,2077
Central Java,3,2020,93753,237.2759437,39512223,93753
South East Java,2,2019,22416,191.7683996,11689100,22416
Maluku,2,2019,15513,203.7192118,7614893,15513
Aceh,1,2020,8072,164.6276859,4903185,8072
Central Sumatra,3,2020,9695,229.8626017,4217737,9695
South Kalimantan,3,2020,10529,226.4888485,4648794,10529
East Nusa Tenggara,2,2019,16349,184.064966,8882190,16349
North Kalimantan,2,2020,13532,196.329258,6892503,13532
Maluku,1,2019,11478,150.7309426,7614893,11478
West Nusa Tenggara,4,2019,2029,149.2228863,1359711,2029
Riau,4,2018,30103,154.7428772,19453561,30103
Riau Islands,3,2021,22572,226.0170542,9986857,22572
Central Papua,1,2021,5581,266.1638121,2096829,5581
Central Papua,3,2019,3709,176.8861457,2096829,3709
North Kalimantan,4,2021,13142,190.6709362,6892503,13142
Borneo,3,2021,1262,202.247155,623989,1262
West Nusa Tenggara,3,2020,2799,205.8525672,1359711,2799
West Sumatra,1,2022,9377,161.0494855,5822434,9377
North Kalimantan,1,2020,10607,153.8918445,6892503,10607
South East Java,4,2021,23619,202.0600388,11689100,23619
Banten,1,2022,14821,203.6210502,7278717,14821
West Sumatra,2,2021,12068,207.26727,5822434,12068
Maluku,2,2019,2146,151.5673733,1415872,2146
South Kalimantan,4,2018,6882,148.0383945,4648794,6882
North Sumatra,2,2020,2946,164.8513065,1787065,2946
West Kalimantan,2,2021,3670,204.7823086,1792147,3670
Central Java,2,2021,38158,298.0630588,12801989,38158
Jakarta,2,2020,66679,310.4563577,21477737,66679
South Sumatra,4,2019,19214,151.6277732,12671821,19214
South East Java,1,2020,19696,168.4988579,11689100,19696
East Papua,4,2020,13198,256.335854,5148714,13198
Central Papua,2,2018,1676,158.2085805,1059361,1676
Central Sumatra,3,2021,10503,249.0197943,4217737,10503
South Kalimantan,1,2018,6810,146.4896057,4648794,6810
Central Sulawesi,1,2018,4099,140.6988742,2913314,4099
Riau Islands,4,2018,15163,151.8295496,9986857,15163
West Nusa Tenggara,3,2020,2799,205.8525672,1359711,2799
South Sulawesi,1,2022,8568,278.1677292,3080156,8568
South Sulawesi,4,2021,8893,288.7191428,3080156,8893
Gorontalo,1,2020,8431,149.4955699,5639632,8431
South East Java,4,2018,18605,159.1653763,11689100,18605
East Kalimantan,1,2019,6041,135.2158047,4467673,6041
North Sumatra,2,2018,2551,142.7480254,1787065,2551
Central Papua,1,2020,3290,156.9035911,2096829,3290
Maluku,1,2019,1718,121.3386521,1415872,1718
Southeast Sulawesi,2,2018,675,88.57547024,762062,675
Central Java,1,2021,107438,271.9107958,39512223,107438
Sulawesi,1,2019,14590,170.932781,8535519,14590
Sulawesi,4,2018,13729,160.8455209,8535519,13729
Central Papua,1,2019,2860,136.3964348,2096829,2860
Maluku,1,2019,11478,150.7309426,7614893,11478
North Sumatra,2,2019,2812,157.3529782,1787065,2812
West Papua,4,2018,838,94.72576439,884659,838
West Papua,3,2018,25037,235.8105164,10617423,25037
Puerto Rico,3,2020,1702,53.29251957,3193694,1702
Central Java,1,2022,33937,265.0916197,12801989,0
North Kalimantan,1,2021,21023,305.0125622,6892503,21023
Riau Islands,3,2021,22572,226.0170542,9986857,22572
Maluku,1,2021,3448,243.5248384,1415872,3448
Central Papua,2,2021,4998,238.3599235,2096829,4998
Riau Islands,4,2021,18881,189.0584796,9986857,18881
Lampung,3,2021,2642,196.5463781,1344212,2642
South West Java,1,2020,5010,126.6119969,3956971,5010
West Kalimantan,4,2018,2567,143.236018,1792147,2567
North Sulawesi,4,2018,3429,108.6822162,3155070,3429
West Java,4,2020,8054,225.9004675,3565287,8054
Central Java,3,2019,71475,180.8933909,39512223,71475
West Sumatra,4,2019,8130,139.6323256,5822434,8130
West Java,3,2020,8019,224.9187793,3565287,8019
Lampung,2,2021,3089,229.8000613,1344212,3089
Lampung,1,2021,3520,261.8634561,1344212,3520
South East Java,1,2022,21749,186.0622289,11689100,21749
Sumatra,4,2021,64965,224.0490641,28995881,64965
Banten,4,2018,12272,168.6011422,7278717,12272
South Sumatra,1,2021,42765,337.4810929,12671821,42765
Central Papua,1,2020,3290,156.9035911,2096829,3290
South East Java,4,2021,23619,202.0600388,11689100,23619
Riau,2,2019,39284,201.9373214,19453561,39284
Maluku,4,2020,18564,243.7854347,7614893,18564
North Maluku,4,2018,4028,135.3426861,2976149,0
Banten,3,2020,19028,261.419698,7278717,19028
South West Java,1,2021,9365,236.6709283,3956971,9365
South Kalimantan,2,2019,7570,162.8379317,4648794,7570
Southeast Sulawesi,1,2021,1525,200.1149513,762062,1525
West Nusa Tenggara,4,2021,2382,175.1842855,1359711,2382
Central Sumatra,4,2021,8255,195.7210703,4217737,8255
Jakarta,3,2021,78078,363.5299194,21477737,78078
South West Java,1,2022,5864,148.1941616,3956971,5864
Southeast Sulawesi,2,2018,675,88.57547024,762062,675
Papua,4,2019,9904,161.3705285,6137428,9904
Sulawesi,1,2021,28022,328.2987244,8535519,28022
Borneo,4,2018,830,133.0151653,623989,830
North Maluku,1,2021,7240,243.2673902,2976149,7240
East Papua,1,2020,9446,183.4632881,5148714,9446
Maluku,1,2019,1718,121.3386521,1415872,1718
South West Java,1,2020,5010,126.6119969,3956971,5010
South Sulawesi,4,2019,6848,222.3264017,3080156,6848
South West Java,1,2019,4869,123.0486653,3956971,4869
Lampung,1,2019,1750,130.1877978,1344212,1750
Gorontalo,4,2018,7273,128.9623153,5639632,7273
Yogyakarta,1,2020,2359,242.2558238,973764,2359
West Papua,4,2019,21002,197.8069443,10617423,21002
West Papua,1,2022,31987,301.2689614,10617423,31987
Southeast Sulawesi,3,2021,1066,139.8836315,762062,1066
West Kalimantan,1,2021,2577,241.11649,1068778,2577
South East Java,1,2022,21749,186.0622289,11689100,21749
North Maluku,2,2020,5091,171.0599839,2976149,5091
North Kalimantan,4,2020,16679,241.9875624,6892503,16679
Riau,3,2020,49583,254.8787854,19453561,49583
Sumatra,3,2019,53177,183.3950139,28995881,53177
North Sumatra,1,2021,4438,248.3401555,1787065,4438
East Nusa Tenggara,3,2019,17556,197.653957,8882190,17556
District of Columbia,3,2018,2083,295.1474249,705749,2083
South Kalimantan,2,2019,7570,162.8379317,4648794,7570
Java,3,2020,6471,201.8429437,3205958,6471
South Sulawesi,4,2019,6848,222.3264017,3080156,6848
Jakarta,1,2019,44731,208.2668207,21477737,44731
East Nusa Tenggara,4,2019,13984,157.4386497,8882190,13984
Maluku,4,2020,2792,197.1929666,1415872,2792
North Sumatra,1,2019,2435,136.2569353,1787065,2435
Central Sulawesi,2,2020,4760,163.387812,2913314,4760
Riau,1,2022,40607,208.7381328,19453561,40607
West Papua,4,2019,770,87.03918685,884659,770
North Maluku,3,2019,4706,158.1238036,2976149,4706
Gorontalo,2,2019,9078,160.9679497,5639632,9078
North Maluku,1,2020,4045,135.9138941,2976149,4045
Jakarta,2,2018,59081,275.0801912,21477737,59081
Borneo,4,2019,800,128.2073883,623989,800
Bengkulu,3,2020,7580,251.1760207,3017804,7580
West Kalimantan,4,2021,3047,170.0195352,1792147,3047
West Papua,3,2018,25037,235.8105164,10617423,25037
West Sulawesi,1,2022,21909,208.8942079,10488084,21909
South Kalimantan,2,2021,16297,350.5640388,4648794,16297
South West Java,1,2019,4869,123.0486653,3956971,4869
Aceh,4,2018,7575,154.4914173,4903185,7575
Java,1,2022,851,147.0387502,578759,851
Lampung,4,2021,2077,154.5143177,1344212,2077
Riau Islands,3,2019,15907,159.2793408,9986857,15907
West Kalimantan,4,2021,3047,170.0195352,1792147,3047
Yogyakarta,1,2020,2359,242.2558238,973764,2359
West Java,4,2021,6685,187.5024367,3565287,6685
Bali,3,2019,1063,145.308901,731545,1063
West Sumatra,2,2019,9564,164.2612007,5822434,9564
Bali,1,2020,1167,159.525388,731545,1167
Central Java,1,2020,64095,162.2156263,39512223,64095
Banten,2,2021,20956,287.9078827,7278717,20956
Jakarta,1,2019,44731,208.2668207,21477737,44731
Bengkulu,1,2022,4738,157.0015813,3017804,4738
Jakarta,2,2021,80027,372.6044322,21477737,80027
Central Java,1,2019,20130,157.2411912,12801989,20130
West Nusa Tenggara,2,2020,2742,201.6604999,1359711,2742
District of Columbia,1,2020,1942,275.1686506,705749,1942
North Sumatra,1,2019,2435,136.2569353,1787065,2435
Central Papua,4,2018,3139,149.7022409,2096829,3139
Central Kalimantan,1,2021,4245,219.4469833,1934408,4245
South Kalimantan,1,2018,6810,146.4896057,4648794,6810
Central Java,4,2018,59360,150.2319928,39512223,59360
South Sulawesi,4,2020,9672,314.0100696,3080156,9672
Riau,2,2020,44350,227.9788261,19453561,44350
Bangka Belitung,2,2018,12039,199.133927,6045680,12039
West Sumatra,2,2020,10398,178.5851072,5822434,10398
Central Sumatra,2,2021,10917,258.8354845,4217737,10917
South Sumatra,1,2021,42765,337.4810929,12671821,42765
South West Java,1,2020,5010,126.6119969,3956971,5010
West Kalimantan,3,2020,3657,204.0569217,1792147,3657
Riau Islands,4,2019,14388,144.0693503,9986857,14388
North Sumatra,4,2020,3271,183.0375504,1787065,3271
Bengkulu,4,2019,3986,132.0827993,3017804,3986
South Kalimantan,4,2020,9730,209.3015952,4648794,9730
West Kalimantan,2,2019,1733,162.1477987,1068778,1733
South Sumatra,3,2018,19519,154.0346885,12671821,19519
Sumatra,2,2020,63827,220.1243687,28995881,63827
Lampung,1,2020,1897,141.1235728,1344212,1897
West Papua,4,2020,1256,141.9756087,884659,1256
Banten,3,2020,19028,261.419698,7278717,19028
Papua,4,2019,9904,161.3705285,6137428,9904
North Maluku,3,2019,4706,158.1238036,2976149,4706
South East Java,3,2019,22016,188.3464082,11689100,22016
Borneo,4,2018,830,133.0151653,623989,830
West Papua,3,2018,25037,235.8105164,10617423,25037
Aceh,2,2018,9435,192.4259435,4903185,9435
West Kalimantan,4,2021,3047,170.0195352,1792147,3047
Lampung,4,2018,1780,132.4195886,1344212,1780
Central Papua,3,2018,1744,164.6275443,1059361,1744
Central Java,1,2019,20130,157.2411912,12801989,20130
West Sumatra,2,2019,9564,164.2612007,5822434,9564
West Sumatra,4,2021,9738,167.2496416,5822434,9738
West Papua,2,2018,26339,248.073379,10617423,26339
West Nusa Tenggara,3,2020,2799,205.8525672,1359711,2799
Central Java,2,2020,90270,228.4609499,39512223,90270
West Sumatra,4,2020,11480,197.1684007,5822434,11480
Bengkulu,2,2020,7962,263.8342318,3017804,7962
Riau Islands,2,2020,19785,198.1103765,9986857,19785
Banten,3,2020,19028,261.419698,7278717,19028
Banten,1,2020,12745,175.0995402,7278717,12745
Gorontalo,4,2020,10951,194.1793365,5639632,10951
Sumatra,2,2019,51744,178.4529327,28995881,51744
West Sumatra,3,2021,12144,208.572566,5822434,12144
West Kalimantan,2,2019,1733,162.1477987,1068778,1733
South Sulawesi,4,2021,8893,288.7191428,3080156,8893
Bali,2,2018,1010,138.0639605,731545,1010
Java,3,2020,6471,201.8429437,3205958,6471
Borneo,4,2018,830,133.0151653,623989,830
South West Java,2,2019,5626,142.17946,3956971,5626
District of Columbia,2,2020,2342,331.8460246,705749,2342
Java,1,2022,851,147.0387502,578759,851
East Kalimantan,1,2020,6867,153.7041766,4467673,6867
South East Java,2,2019,22416,191.7683996,11689100,22416
West Sumatra,2,2020,11868,176.2866003,6732219,11868
North Sumatra,2,2020,2946,164.8513065,1787065,2946
Central Papua,2,2020,1994,188.2266763,1059361,1994
Yogyakarta,1,2019,1900,195.1191459,973764,1900
West Sulawesi,3,2018,18639,177.715968,10488084,18639
West Nusa Tenggara,4,2019,2029,149.2228863,1359711,2029
North Sumatra,4,2021,2933,164.1238567,1787065,2933
East Nusa Tenggara,4,2018,14455,162.741396,8882190,14455
Java,1,2021,1201,207.5129717,578759,1201
North Maluku,2,2019,4519,151.840516,2976149,4519
North Kalimantan,2,2018,9769,141.7337069,6892503,9769
Bangka Belitung,4,2018,10914,180.5255984,6045680,10914
West Sumatra,2,2020,11868,176.2866003,6732219,11868
Central Java,3,2018,69265,175.300185,39512223,69265
West Sumatra,3,2020,11655,200.1740166,5822434,11655
Central Papua,2,2018,1676,158.2085805,1059361,0
District of Columbia,3,2019,2336,330.995864,705749,2336
Lampung,1,2019,1750,130.1877978,1344212,1750
North Kalimantan,2,2021,17964,260.6310073,6892503,17964
Jakarta,3,2018,56998,265.3817765,21477737,56998
Yogyakarta,2,2021,3611,370.8290715,973764,3611
Lampung,3,2018,1777,132.1964095,1344212,1777
Bangka Belitung,2,2019,13599,224.937476,6045680,13599
East Kalimantan,1,2020,6867,153.7041766,4467673,6867
Maluku,4,2018,1631,115.1940288,1415872,1631
East Kalimantan,2,2020,8144,182.2872892,4467673,8144
Riau,3,2018,31798,163.4559349,19453561,31798
West Sulawesi,1,2019,18425,175.6755571,10488084,18425
Sumatra,2,2018,57667,198.879972,28995881,57667
Bengkulu,3,2019,4564,151.2357993,3017804,4564
Borneo,3,2020,1249,200.1637849,623989,1249
West Papua,1,2019,914,103.3166452,884659,914
District of Columbia,3,2019,2336,330.995864,705749,2336
Central Java,1,2021,107438,271.9107958,39512223,107438
Southeast Sulawesi,2,2021,1283,168.3590049,762062,1283
Papua,1,2019,10330,168.3115468,6137428,10330
Central Papua,1,2022,1977,186.6219353,1059361,1977
Central Sumatra,1,2019,6599,156.4583093,4217737,6599
South Sumatra,4,2021,25971,204.9508117,12671821,25971
Aceh,2,2020,10855,221.3867109,4903185,10855
West Kalimantan,2,2018,1662,155.5046979,1068778,1662
Central Java,1,2022,33937,265.0916197,12801989,33937
Central Kalimantan,4,2020,3275,169.3024429,1934408,3275
Central Java,1,2020,22475,175.5586573,12801989,0
Bali,1,2018,988,135.0566267,731545,988
Gorontalo,2,2020,10302,182.6714935,5639632,0
Papua,4,2018,10056,163.847136,6137428,10056
Riau,3,2021,51881,266.6915327,19453561,51881
West Nusa Tenggara,3,2021,3025,222.4737463,1359711,3025
Central Kalimantan,4,2020,3275,169.3024429,1934408,3275
West Java,4,2019,5721,160.4639402,3565287,5721
Central Sumatra,4,2019,6566,155.6758992,4217737,6566
North Sumatra,4,2019,2255,126.184554,1787065,2255
South West Java,3,2020,7074,178.773107,3956971,7074
West Kalimantan,3,2018,1746,163.3641411,1068778,1746
South Kalimantan,1,2020,6849,147.3285329,4648794,6849
West Kalimantan,2,2019,2931,163.5468519,1792147,2931
East Kalimantan,2,2021,9750,218.2344142,4467673,9750
West Java,3,2018,5676,159.2017697,3565287,5676
Bali,3,2018,19639,287.575042,6829174,19639
Riau Islands,3,2021,22572,226.0170542,9986857,22572
Aceh,3,2018,9470,193.1397653,4903185,9470
East Java,4,2020,14701,255.2817146,5758736,14701
Gorontalo,2,2021,12147,215.386394,5639632,12147
West Sumatra,1,2021,18207,270.4457475,6732219,0
West Sulawesi,3,2020,25738,245.4023061,10488084,0
Central Papua,1,2021,3933,371.2615435,1059361,3933
East Java,4,2020,14701,255.2817146,5758736,14701
West Kalimantan,4,2018,1443,135.0140067,1068778,1443
North Kalimantan,3,2020,15198,220.5004481,6892503,15198
South Kalimantan,3,2018,7656,164.6878739,4648794,7656
Riau,4,2021,43343,222.8023959,19453561,43343
Lampung,1,2019,1750,130.1877978,1344212,1750
Central Sumatra,4,2021,8255,195.7210703,4217737,8255
Sulawesi,4,2018,13729,160.8455209,8535519,13729
Gorontalo,1,2018,7099,125.8770076,5639632,7099
West Sumatra,1,2019,8366,143.6856133,5822434,0
Central Papua,4,2019,2985,142.3578174,2096829,2985
Java,4,2019,730,126.1319478,578759,730
Yogyakarta,1,2020,2359,242.2558238,973764,2359
West Nusa Tenggara,4,2018,2052,150.9144223,1359711,2052
West Sumatra,1,2022,11612,172.4839908,6732219,11612
Jakarta,1,2018,56866,264.7671866,21477737,56866
Southeast Sulawesi,4,2019,673,88.3130244,762062,673
Riau,1,2020,33837,173.9373064,19453561,33837
Jakarta,2,2018,59081,275.0801912,21477737,0
Sumatra,1,2018,54509,187.9887699,28995881,54509
North Maluku,3,2018,4154,139.5763451,2976149,4154
Papua,4,2018,10056,163.847136,6137428,10056
South Sulawesi,4,2021,8893,288.7191428,3080156,8893
Yogyakarta,1,2020,2359,242.2558238,973764,2359
Riau,1,2020,33837,173.9373064,19453561,33837
West Sumatra,3,2020,12587,186.9665856,6732219,12587
Central Java,1,2022,33937,265.0916197,12801989,33937
Banten,3,2019,17195,236.2366884,7278717,17195
Aceh,3,2018,9470,193.1397653,4903185,9470
Maluku,1,2020,2009,141.8913574,1415872,2009
South Sulawesi,2,2021,11581,375.98745,3080156,11581
Central Java,4,2019,19706,153.9292058,12801989,19706
Lampung,1,2019,1750,130.1877978,1344212,1750
Gorontalo,3,2021,11347,201.2010713,5639632,11347
West Kalimantan,2,2019,2931,163.5468519,1792147,2931
Southeast Sulawesi,1,2018,612,80.30842635,762062,612
North Sulawesi,4,2021,4153,131.6294092,3155070,4153
Yogyakarta,1,2022,3010,309.1098048,973764,3010
Java,2,2020,953,164.6626662,578759,953
North Sumatra,3,2018,2593,145.0982477,1787065,2593
Central Papua,1,2021,3933,371.2615435,1059361,3933
South Sumatra,2,2018,19834,156.520519,12671821,0
West Nusa Tenggara,3,2019,2363,173.7869297,1359711,2363
Yogyakarta,1,2020,2359,242.2558238,973764,2359
Jakarta,4,2021,63266,294.5654843,21477737,63266
West Papua,1,2018,772,87.26526266,884659,772
Gorontalo,4,2019,7924,140.5056216,5639632,0
West Kalimantan,1,2019,2677,149.3739074,1792147,2677
West Kalimantan,3,2018,1746,163.3641411,1068778,1746
Sumatra,4,2018,46567,160.5986726,28995881,46567
West Papua,1,2018,772,87.26526266,884659,772
Bangka Belitung,4,2018,10914,180.5255984,6045680,10914
West Papua,4,2018,22315,210.1734103,10617423,22315
Lampung,4,2020,2510,186.7264985,1344212,2510
Gorontalo,3,2019,8899,157.7939837,5639632,8899
Bali,2,2019,13106,191.9119355,6829174,13106
West Nusa Tenggara,3,2021,3025,222.4737463,1359711,3025
Java,2,2019,813,140.4729775,578759,813
West Papua,1,2018,772,87.26526266,884659,772
Central Papua,4,2020,2585,244.0150242,1059361,2585
East Nusa Tenggara,4,2019,13984,157.4386497,8882190,13984
West Sumatra,4,2021,11837,175.8261281,6732219,11837
West Papua,2,2019,955,107.9511993,884659,955
South Sumatra,1,2020,20328,160.4189327,12671821,20328
Central Papua,1,2021,5581,266.1638121,2096829,5581
East Nusa Tenggara,2,2018,15068,169.6428471,8882190,15068
East Kalimantan,1,2021,10558,236.3198918,4467673,10558
Central Sumatra,4,2021,8255,195.7210703,4217737,8255
North Kalimantan,1,2019,10069,146.0862621,6892503,10069
Sulawesi,4,2019,14408,168.8005146,8535519,14408
West Sumatra,3,2020,11655,200.1740166,5822434,11655
West Papua,3,2018,802,90.65639981,884659,802
Central Kalimantan,1,2021,4245,219.4469833,1934408,4245
South East Java,2,2020,24379,208.5618226,11689100,24379
West Kalimantan,1,2022,2594,144.7425909,1792147,2594
Borneo,2,2018,652,104.4890214,623989,652
North Sumatra,1,2022,2866,160.3746926,1787065,2866
Central Kalimantan,2,2018,2314,119.6231612,1934408,2314
Central Papua,3,2019,3709,176.8861457,2096829,3709
West Sumatra,4,2020,13998,207.9254998,6732219,13998
Jakarta,1,2018,56866,264.7671866,21477737,56866
South Sumatra,3,2021,36057,284.5447391,12671821,36057
West Papua,4,2019,770,87.03918685,884659,770
Central Java,2,2020,29163,227.8005394,12801989,29163
Gorontalo,1,2020,8431,149.4955699,5639632,8431
Aceh,1,2022,11115,226.6893866,4903185,11115
North Kalimantan,3,2019,10502,152.3684502,6892503,10502
Central Java,4,2021,83028,210.1324443,39512223,83028
Java,1,2019,746,128.8964837,578759,746
South Sulawesi,3,2019,8965,291.0566867,3080156,8965
Sumatra,2,2019,51744,178.4529327,28995881,51744
Jakarta,2,2018,59081,275.0801912,21477737,59081
Sumatra,2,2021,86304,297.6422755,28995881,86304
Papua,1,2018,10664,173.7535658,6137428,10664
Borneo,3,2018,720,115.3866494,623989,720
Aceh,3,2021,15075,307.4532166,4903185,15075
South East Java,3,2021,29717,254.2282982,11689100,29717
Puerto Rico,3,2018,811,25.39379164,3193694,811
West Kalimantan,3,2018,3076,171.6377061,1792147,3076
Bengkulu,4,2020,5325,176.4528114,3017804,5325
Sumatra,2,2018,57667,198.879972,28995881,57667
Central Java,4,2021,83028,210.1324443,39512223,83028
South Sulawesi,4,2019,6848,222.3264017,3080156,6848
North Kalimantan,4,2020,16679,241.9875624,6892503,16679
Bali,3,2019,1063,145.308901,731545,1063
West Sulawesi,1,2020,18909,180.290318,10488084,18909
East Kalimantan,3,2018,6489,145.2433963,4467673,6489
West Kalimantan,1,2018,2346,130.9044403,1792147,2346
Bali,1,2019,11301,165.4812134,6829174,11301
East Papua,2,2019,10049,195.1749505,5148714,10049
Southeast Sulawesi,1,2022,863,113.245379,762062,863
South East Java,2,2020,24379,208.5618226,11689100,24379
South East Java,2,2021,30589,261.6882395,11689100,30589
Central Sulawesi,1,2021,9027,309.8533148,2913314,9027
Bengkulu,1,2019,3993,132.314756,3017804,3993
Papua,2,2019,12087,196.9391739,6137428,12087
South East Java,4,2019,18599,159.1140464,11689100,18599
North Sulawesi,2,2018,3543,112.2954483,3155070,3543
Java,3,2018,686,118.5294743,578759,686
West Sumatra,2,2018,7455,128.0392358,5822434,7455
North Sulawesi,2,2019,4380,138.8241782,3155070,4380
Papua,2,2019,12087,196.9391739,6137428,12087
Borneo,4,2019,800,128.2073883,623989,800
Central Sulawesi,1,2019,3976,136.4768782,2913314,3976
Maluku,3,2018,11757,154.3948155,7614893,11757
Central Java,4,2020,87759,222.1059544,39512223,87759
North Maluku,4,2019,3841,129.0593986,2976149,3841
